req_id,req_date,req_time,lab_name,parts_inrepair,quantity,status,allotted,pending
3,2015-10-10,00:00:12,FS6,"motherboard,Monitor,processor","7,1,2",pending,"0,0,0,0,0,0,0","7,1,2"
13,2017-02-08,06:07:01,FS6,"motherboard,processor,memory,HDD,Monitor","1,1,0,0,0",pending,"0,0,0,0,0,0,0","1,1,0,0,0"
14,2017-02-08,07:27:35,FS6,"motherboard,processor,memory,HDD,Monitor","2,2,1,1,0",pending,"0,0,0,0,0,0,0","2,2,1,1,0"
16,2017-02-08,07:31:14,FS6,"motherboard,processor,memory,HDD,Monitor","3,3,0,1,1",pending,"0,0,0,0,0,0,0","3,3,0,1,1"
19,2017-02-08,07:37:38,FS6,"motherboard,processor,memory,HDD,Monitor","2,2,1,0,0",pending,"0,0,0,0,0,0,0","2,2,1,0,0"
20,2017-02-17,17:43:03,FS6,"motherboard,processor,memory,HDD,Monitor","3,0,0,0,0",pending,"0,0,0,0,0,0,0","3,0,0,0,0"
21,2017-02-17,17:43:25,FS6,"motherboard,processor,memory,HDD,Monitor","1,0,0,0,0",pending,"0,0,0,0,0,0,0","1,0,0,0,0"
22,2017-02-17,17:43:31,FS6,"motherboard,processor,memory,HDD,Monitor","1,1,0,0,0",pending,"0,0,0,0,0,0,0","1,1,0,0,0"
23,2017-02-17,17:44:03,FS6,"motherboard,processor,memory,HDD,Monitor","1,0,0,0,0",pending,"0,0,0,0,0,0,0","1,0,0,0,0"
24,2017-02-17,17:44:11,FS6,"motherboard,processor,memory,HDD,Monitor","1,0,1,0,0",pending,"0,0,0,0,0,0,0","1,0,1,0,0"
25,2017-02-17,17:44:52,FS6,"motherboard,processor,memory,HDD,Monitor","0,0,0,1,1",pending,"0,0,0,0,0,0,0","0,0,0,1,1"
26,2017-02-25,15:11:45,FS6,"motherboard,processor,memory,HDD,Monitor","1,0,0,1,0",pending,"0,0,0,0,0,0,0","1,0,0,1,0"
27,2017-02-25,15:17:13,FS6,"motherboard,processor,memory,HDD,Monitor,Keyboard,Mouse","0,0,0,0,1,0,0",pending,"0,0,0,0,0,0,0","0,0,0,0,1,0,0"
28,2017-02-26,08:27:20,FS6,"motherboard,processor,memory,HDD,Monitor,Keyboard,Mouse","5,5,1,0,0,0,0",pending,,"5,5,1,0,0,0,0"
29,2017-02-26,08:30:29,FS6,"motherboard,processor,memory,HDD,Monitor,Keyboard,Mouse","0,0,2,0,0,0,0",pending,,"0,0,2,0,0,0,0"
30,2017-02-26,08:31:39,FS6,"motherboard,processor,memory,HDD,Monitor,Keyboard,Mouse","2,0,2,0,0,0,0",pending,,"2,0,2,0,0,0,0"
31,2017-02-26,08:32:18,FS6,"motherboard,memory","2,2",pending,,"2,2"
33,2017-02-26,08:47:26,FS6,"motherboard,processor,memory,HDD","7,3,4,2",pending,"0,0,0,0","7,3,4,2"
35,2017-02-26,08:50:59,FS6,"motherboard,memory,HDD","1,1,1",pending,"0,0,0","1,1,1"
36,2017-02-26,08:53:23,FS6,"motherboard,processor,memory","1,1,1",pending,"0,0,0","1,1,1"
37,2017-02-26,08:54:54,FS6,"motherboard,processor,memory,HDD,Monitor,Keyboard,Mouse","2,2,2,1,1,2,1","pending
","0,0,0,0,0,0,0","2,2,2,1,1,2,1"
39,2017-02-27,07:53:22,FS6,"memory,HDD,Monitor,Keyboard,Mouse","1,2,1,1,1",pending,"0,0,0,0,0","1,2,1,1,1"
41,2017-02-27,07:57:32,FS6,motherboard,1,pending,0,1
43,2017-03-01,22:44:51,FS6,"motherboard,processor,memory,Keyboard,Mouse","15,4,3,12,5",pending,"0,0,0,0,0","15,4,3,12,5"
47,2017-03-02,19:30:09,FS6,"motherboard,Keyboard,Mouse","3,4,2",pending,"0,0,0","3,4,2"
1,2016-08-14,00:00:10,FS6,"motherboard,Monitor,processor","3,5,7",active,"0,0,0,0,0,0,0","3,5,7"
2,2016-02-14,00:00:02,FS6,"motherboard,Monitor,processor","6,9,8",active,"0,0,0,0,0,0,0","6,9,8"
42,2017-02-27,12:28:16,FS6,memory,1,active,1,0
11,2017-02-07,20:19:06,FS6,"motherboard,processor,memory,HDD,Monitor","1,0,0,0,0",closed,"0,0,0,0,0,0,0","1,0,0,0,0"
12,2017-02-07,20:19:06,FS6,"motherboard,processor,memory,HDD,Monitor","1,0,0,0,0",closed,"0,0,0,0,0,0,0","1,0,0,0,0"
48,2017-03-02,23:20:14,FS6,"motherboard,memory,HDD","1,1,1",closed,"1,1,1","0,0,0"
