req_id,req_date,req_time,lab_name,parts_in_repair,quantity,pending,allotted,status
38,2017-02-27,06:53:39,FS7,motherboard,1,1,0,incomplete
,,,,processor,1,0,1,
,,,,memory,1,0,1,
,,,,HDD,2,0,2,
,,,,Monitor,2,0,2,
,,,,Keyboard,2,0,2,
,,,,Mouse,1,0,1,

39,2017-02-27,07:53:22,FS6,memory,1,0,1,pending
,,,,HDD,2,0,2,
,,,,Monitor,1,0,1,
,,,,Keyboard,1,0,1,
,,,,Mouse,1,0,1,

40,2017-02-27,07:53:35,FS7,motherboard,1,1,0,incomplete
,,,,Keyboard,1,0,1,
,,,,Mouse,1,1,0,

41,2017-02-27,07:57:32,FS6,motherboard,1,1,0,active

42,2017-02-27,12:28:16,FS6,memory,1,1,0,active

43,2017-03-01,22:44:51,FS6,motherboard,15,0,15,pending
,,,,processor,4,0,4,
,,,,memory,3,0,3,
,,,,Keyboard,12,0,12,
,,,,Mouse,5,0,5,

47,2017-03-02,19:30:09,FS6,motherboard,3,0,3,pending
,,,,Keyboard,4,0,4,
,,,,Mouse,2,0,2,

48,2017-03-02,23:20:14,FS6,motherboard,1,1,0,closed
,,,,memory,1,1,0,
,,,,HDD,1,1,0,

53,2017-03-10,13:28:22,FS7,motherboard,1,0,1,pending
,,,,processor,1,0,1,
,,,,Monitor,1,0,1,

